"Paper Title","Paper Author","Paper Year","DOI","Region","Climate Source","Climate_Ref","URL","Pollen Data","Available","Clim Methods"
"North American paleoclimate reconstructions for the Last Glacial Maximum using an inverse modeling through iterative forward modeling approach applied to pollen data.","Izumi and Bartlein",2016,"https://doi.org/10.1002/2016GL070152","North America","CRU CL 2.0 1961-1990 adjusted for elevation to downscale CRU data to each pollen site","New et al. (2002)",,"Neotoma",,
"Holocene seasonality changes in the central Mediterranean region reconstructed from the pollen sequences of Lake Accesa (Italy) and Tenaghi Philippon (Greece)","Peyron et al.",2011,"https://doi.org/10.1177/0959683610384162","Europe: Meditteranean","CRU?",,,"Dormoy et al (2009);  Bordon et al. (2009)",,
"Pollen-inferred palaeoclimate reconstructions in mountain areas: Problems and perspectives.","Ortu et al.",2006,"https://doi.org/10.1002/jqs.998","Europe: Italian Alps","interpolation from local station data using an arti?cial neural network",,,"868 modern pollen spectra (Peyron et al. 2005)",,
"Pollen-based temperature reconstructions from Jeju island, South Korea and its implication for coastal climate of East Asia during the late Pleistocene and early Holocene","Park et al",2015,"https://doi.org/10.1016/j.palaeo.2014.10.005","Asia: Korea","local data set based on lapse rate estimated from two climate stations (ouch)","Park et al (2015)",,"local dataset in Park et al (2015)",,
"Regional variation in Holocene climate quantified from pollen in the Great Plains of North America","Comerford et al",2017,"https://doi.org/10.1002/joc.5296","North America: Great Plains","PRISM 1981-2010 normals","PRISM Climate Group. 2016. 30-Year Normals of Precipitation and Temperature. Oregon State University: Corvallis, OR.",,"modern pollen data from the surface sediments of 141 ponds across the Great Plains in Comerford et al (2017)",,
"Rapid summer temperature changes during Termination 1a: high-resolution multi-proxy climate reconstructions from Gerzensee (Switzerland)","Lotter et al",2012,"https://doi.org/10.1016/j.quascirev.2010.06.022","Europe: Alps","unclear",,,"129 sites in central Europe and the Alps;  Lotter et al (2000)",,
"The bias and signal attenuation present in conventional pollen-based climate reconstructions as assessed by early climate data from Minnesota, USA.","St Jacques et al.",2015,"https://doi.org/10.1371/journal.pone.0113806","North America: north-central US","various climate normals from met stations including from Minnesota State Climatology Office",,,"Jacobson & Grimm (1986); NAPD",,"WA-PLS2"
"Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis","Bartlein et al.",2011,"https://doi.org/10.1007/s00382-010-0904-1","Continental-scale reconstructions","various including CRU CL 2.0","Various;  New et al. (2002)",,"various",,"various"
"Quantification of climate change for the last 20,000 years from Wonderkrater, South Africa: Implications for the long-term dynamics of the Intertropical Convergence Zone","Truc et al",2013,"https://doi.org/10.1016/j.palaeo.2013.06.024","Africa: South Africa","WorldClim","Hijmans et al. (2005)",,,,
"A potential of pollen-based climate reconstruction using a modern pollen-climate dataset from arid northern and western China","Luo et al.",2010,"10.1016/j.revpalbo.2010.01.003","China","WorldClim","Hijmans et al. (2005)",,,,
"Pollen-based palaeoclimate reconstructions over long glacial-interglacial timescales: methodological tests based on the Holocene and MIS 5d-c deposits at Sokli, northern Finland","Salonen et al.",2013,"https://doi.org/10.1002/jqs.2611","Europe: Finland","WorldClim","Hijmans et al. (2005)",,"North European Calibration Set;  Salonen et al. (2012)",,"WA-PLS"
"The Holocene thermal maximum and late-Holocene cooling in the tundra of NE, European Russia","Salonen et al.",2011,"https://doi.org/10.1016/j.yqres.2011.01.007","Russia","WorldClim","Hijmans et al. (2005)",,"Sepp� et al. (2004)",,"WA-PLS"
"The climate of Europe during the Holocene: a gridded pollen-based reconstruction and its multi-proxy evaluation","Mauri et al",2015,"https://doi.org/10.1016/j.quascirev.2015.01.013","Europe","WorldClim  1km resolution","Hijmans et al. (2005)",,"EMPD (Davis et al. 2013)",,
"Holocene Climate Reconstructions from the Fennoscandian Tree-Line Area Based on Pollen Data from Toskaljavri","Sepp� and Birks",2002,"https://doi.org/10.1006/qres.2001.2313","Europe: Fennoscandia",,,,,,
